id,utime,name,lat,lon
7655,2025-08-11T03:00:00+03:00,"Str. Lacul Morii, Lacul Morii, Romania",44.4556327,26.0251529
7656,2025-08-11T03:00:00+03:00,"Str. Drumul Taberei, Drumul Taberei, Romania",44.4258997,26.0544366
7657,2025-08-11T03:00:00+03:00,"Calea Victoriei, Cercul Militar, Romania",44.435029,26.098609
8590,2025-08-11T03:00:00+03:00,"Str. Rotunda, Titan, Romania",44.4185543,26.1615982
101023,2025-01-22T14:15:03Z,Strada Fuiorului,44.51761559966,25.9842646122
105133,2025-03-19T08:37:36Z,Strada Fabricii,44.4390848708,26.04347974062
108718,2025-07-17T18:24:42Z,Intrarea Smaranda,44.3959,26.1025
109177,2025-06-03T09:11:36Z,Mogoșoaia,44.5325,25.9763
109186,2025-08-11T01:02:40Z,Strada Cremenița,44.4640249,26.1377147
109210,2025-08-11T00:54:16Z,Drumul Fermei,44.37096,26.15399
109243,2025-06-25T11:31:21Z,Strada Paul Greceanu,44.45191,26.10543
109288,2025-02-26T18:08:37Z,Strada Orșova,44.442518,26.0296005
109294,2024-12-14T14:30:38Z,Calea Moșilor,44.4323,26.1063
109675,2025-03-17T08:29:40Z,Strada Siriului,44.484928,26.098362
109702,2025-08-11T01:02:18Z,Strada Barbu Urleanu,44.425952,26.06673
109819,2025-08-11T00:56:17Z,Strada Soldat Ion Ciocodeică,44.394116,26.10739885
109861,2025-08-11T01:02:14Z,Strada Sfântul Nicolae,44.3878,26.1585
109864,2025-08-11T00:59:10Z,Strada Armenească,44.525835,25.986329
110290,2025-08-11T00:56:12Z,Strada Liviu Rebreanu,44.422833,26.151681
110578,2025-08-11T00:48:32Z,Tamași,44.5787,26.0058
111118,2025-08-11T00:53:48Z,Bulevardul Bucureștii Noi,44.47997013,26.0418307
111148,2025-08-11T00:52:29Z,Strada Viilor,44.453754,25.979103
111172,2025-08-11T00:59:34Z,Strada Sergent Lazăr Gafton,44.407899,26.090406
112240,2025-04-01T20:57:04Z,Tamași,44.5817,26.0092
114166,2025-08-11T00:52:18Z,Strada Tudor Arghezi,44.555333,26.14166
114598,2025-08-11T01:01:46Z,Strada Câmpul Pipera,44.5116145,26.1030358
121864,2025-03-11T12:52:45Z,Strada Fizicienilor,44.4103807,26.1477656
121888,2025-08-11T00:53:57Z,Drumul Vlașin,44.394335,26.04133
121957,2024-11-22T13:36:24Z,Strada Erou Șerban Bogdan Stan,44.435,26.0116
122317,2025-08-11T01:00:35Z,Strada Drumul Bacriului,44.444,26.006
122899,2025-06-13T16:45:59Z,Strada Reconstrucției,44.585422,26.135621
122974,2025-08-11T00:54:31Z,Strada Bălții,44.550936,26.127154
124870,2024-08-26T07:07:17Z,Calea Plevnei,44.4460042,26.06653176
125581,2025-08-11T01:02:06Z,Bulevardul Iuliu Maniu,44.435362,25.976038
