id,utime,name,lat,lon
460345,2025-08-15T13:30:35Z,Strada Nicolae Labiș,44.326958,26.170339
461029,2025-08-15T13:40:19Z,Strada Olteniei,44.489338,26.031365
464341,2025-08-15T13:38:20Z,Strada Iernii,44.40106191129,25.98359084126
466795,2025-08-15T13:41:47Z,Strada Alexandru Lăpușneanu,44.48482444921,26.02662205729
470260,2025-08-15T13:40:03Z,Bulevardul Petrila,44.512061,26.017352
470548,2025-08-15T13:39:25Z,Strada Lisabona,44.456618,26.095478
470575,2025-08-15T13:41:05Z,Strada Parcului,44.480006,26.054959
470611,2025-08-15T13:38:59Z,Strada Nicolae G. Caramfil,44.480272,26.093297
470614,2025-08-13T15:26:09Z,Calea Plevnei,44.437271,26.07827
470632,2025-08-15T13:35:37Z,Strada Topraisar,44.463008,26.048018
470635,2025-08-15T13:38:19Z,Bulevardul Banu Manta,44.455249,26.079436
470644,2025-08-15T13:38:51Z,Strada George Călinescu,44.462381,26.100929
470659,2025-08-14T11:45:53Z,Străulești,44.513875,26.021871
470677,2025-08-15T13:38:56Z,Strada Temișana,44.442403,26.086568
470701,2025-08-15T13:37:01Z,Strada Pecetei,44.481023,26.046317
470794,2025-08-15T13:30:18Z,Splaiul Independenței,44.436065,26.075681
470800,2025-08-15T13:38:56Z,Strada Cluj,44.461852,26.0715
470806,2025-08-15T13:39:47Z,Aleea Someșul Rece,44.496511,26.075407
470821,2025-08-15T13:30:32Z,Strada Herminei,44.487052,26.017071
470920,2025-08-15T13:41:31Z,Strada Turda,44.457696,26.065962
470947,2025-08-15T13:36:53Z,Strada Siriului,44.484353,26.099368
470971,2025-08-15T13:39:19Z,Strada Barbu Delavrancea,44.462723,26.078595
470974,2025-08-15T13:38:51Z,Calea Griviței,44.461075,26.058592
470983,2025-08-15T13:38:14Z,Strada Smaranda Brăescu,44.48595,26.093638
470989,2025-08-15T13:26:01Z,Strada Elena Văcărescu,44.48915,26.083562
471022,2025-08-15T13:26:22Z,Strada Olteniei,44.486893,26.033855
471025,2025-08-15T13:37:33Z,Strada Soldat Neagoe Teodor,44.489328,26.00864
471028,2025-08-15T13:34:12Z,Străulești,44.509035,26.025522
471070,2025-08-15T13:38:22Z,Intrarea Lacul Sărat,44.452271,26.100064
471097,2025-08-14T12:50:21Z,Calea Griviței,44.454132,26.064043
471100,2025-08-15T13:38:58Z,Strada Rabat,44.458798,26.091562
471112,2025-08-15T13:41:07Z,Strada Nuvelei,44.485471,26.03927
471214,2025-08-15T13:38:41Z,Pajura,44.483618,26.051507
471217,2025-08-15T13:38:47Z,Strada Theodor Burada,44.435408,26.084076
471346,2025-08-15T13:39:14Z,Calea Griviței,44.466762,26.053881
471364,2025-08-15T13:38:51Z,Calea Victoriei,44.446572,26.090548
471379,2025-08-15T12:55:49Z,Strada Monetăriei,44.456026,26.083328
471397,2025-08-15T13:38:32Z,Aleea Privighetorilor,44.516581,26.090672
471400,2025-08-15T13:35:16Z,Aleea Constantin Sandu-Aldea,44.467936,26.062175
471409,2025-08-15T13:37:35Z,Strada Arhitect Ion Mincu,44.459205,26.083991
471439,2025-08-15T13:35:56Z,Intrarea Mănăstirea Bistrița,44.456924,26.063969
471445,2025-08-15T13:32:32Z,Strada Automatizării,44.504169,26.060483
471493,2025-08-15T13:37:44Z,Piața Presei Libere,44.480272,26.072047
475240,2025-08-15T13:39:25Z,Roșu,44.4502,26.0112
475333,2025-06-25T17:07:54Z,Strada Oașului,44.54144,26.073299
475354,2025-04-15T18:55:34Z,Odăile,44.545464,26.056977
475357,2024-11-24T18:40:10Z,Otopeni,44.552231,26.063263
475360,2024-09-06T17:40:40Z,Strada Ferme G,44.581561,26.075476
478849,2025-08-15T00:58:36Z,Strada Doctor Ion Atanasiu,44.426,26.07
491167,2025-08-15T13:40:04Z,Strada Migdalilor,44.46267442606,26.19680285454
504721,2024-12-09T12:06:34Z,Bulevardul Timișoara,44.4266283128,26.04153513908
504727,2025-06-10T13:20:58Z,Bulevardul Pache Protopopescu,44.44172870475,26.12948209047
507493,2025-08-15T13:41:09Z,Greenfield AQI,44.5332755000425,26.0978985473416
515524,2025-08-15T13:34:29Z,Bulevardul Timișoara,44.42717214,26.0155216
520810,2025-08-15T13:39:56Z,Strada Apusului,44.4348645,26.0116597
521119,2025-08-15T13:38:51Z,Cosoba,44.51962752476,25.80155038428
527830,2025-06-15T01:40:28Z,Strada Mușetești,44.486,26.102
