time,value,field,id
2025-10-07T04:00:00Z,0,ch2o,110290
2025-10-07T05:00:00Z,0,ch2o,110290
2025-10-07T06:00:00Z,0,ch2o,110290
2025-10-07T07:00:00Z,0,ch2o,110290
2025-10-07T08:00:00Z,0,ch2o,110290
2025-10-07T09:00:00Z,0,ch2o,110290
2025-10-07T10:00:00Z,0,ch2o,110290
2025-10-07T11:00:00Z,0,ch2o,110290
2025-10-07T12:00:00Z,0,ch2o,110290
2025-10-07T13:00:00Z,0,ch2o,110290
2025-10-07T14:00:00Z,0,ch2o,110290
2025-10-07T15:00:00Z,0,ch2o,110290
2025-10-07T16:00:00Z,0,ch2o,110290
2025-10-07T17:00:00Z,0,ch2o,110290
2025-10-07T18:00:00Z,0,ch2o,110290
2025-10-07T19:00:00Z,0,ch2o,110290
2025-10-07T20:00:00Z,0,ch2o,110290
2025-10-07T21:00:00Z,0,ch2o,110290
2025-10-07T22:00:00Z,0,ch2o,110290
2025-10-07T23:00:00Z,0,ch2o,110290
2025-10-08T00:00:00Z,0,ch2o,110290
2025-10-08T01:00:00Z,0,ch2o,110290
2025-10-08T02:00:00Z,0,ch2o,110290
2025-10-08T03:00:00Z,0,ch2o,110290
2025-10-08T04:00:00Z,0,ch2o,110290
2025-10-08T05:00:00Z,0,ch2o,110290
2025-10-08T06:00:00Z,0,ch2o,110290
2025-10-08T07:00:00Z,0,ch2o,110290
2025-10-08T08:00:00Z,0,ch2o,110290
2025-10-08T09:00:00Z,0,ch2o,110290
2025-10-08T10:00:00Z,0,ch2o,110290
2025-10-08T11:00:00Z,0,ch2o,110290
2025-10-08T12:00:00Z,0,ch2o,110290
2025-10-08T13:00:00Z,0,ch2o,110290
2025-10-08T14:00:00Z,0,ch2o,110290
2025-10-08T15:00:00Z,0,ch2o,110290
2025-10-08T16:00:00Z,0,ch2o,110290
2025-10-08T17:00:00Z,0,ch2o,110290
2025-10-08T18:00:00Z,0,ch2o,110290
2025-10-08T19:00:00Z,0,ch2o,110290
2025-10-08T20:00:00Z,0,ch2o,110290
2025-10-08T21:00:00Z,0,ch2o,110290
2025-10-08T22:00:00Z,0,ch2o,110290
2025-10-08T23:00:00Z,0,ch2o,110290
2025-10-09T00:00:00Z,0,ch2o,110290
2025-10-09T01:00:00Z,0,ch2o,110290
2025-10-09T02:00:00Z,0,ch2o,110290
2025-10-09T03:00:00Z,0,ch2o,110290
2025-10-09T04:00:00Z,0,ch2o,110290
2025-10-09T05:00:00Z,0,ch2o,110290
2025-10-09T06:00:00Z,0,ch2o,110290
2025-10-09T07:00:00Z,0,ch2o,110290
2025-10-09T08:00:00Z,0,ch2o,110290
2025-10-09T09:00:00Z,0,ch2o,110290
2025-10-09T10:00:00Z,0,ch2o,110290
2025-10-09T11:00:00Z,0,ch2o,110290
2025-10-09T12:00:00Z,0,ch2o,110290
2025-10-09T13:00:00Z,0,ch2o,110290
2025-10-09T14:00:00Z,0,ch2o,110290
2025-10-09T15:00:00Z,0,ch2o,110290
2025-10-09T16:00:00Z,0,ch2o,110290
2025-10-09T17:00:00Z,0,ch2o,110290
2025-10-09T18:00:00Z,0,ch2o,110290
2025-10-09T19:00:00Z,0,ch2o,110290
2025-10-09T20:00:00Z,0,ch2o,110290
2025-10-09T21:00:00Z,0,ch2o,110290
2025-10-09T22:00:00Z,0,ch2o,110290
2025-10-09T23:00:00Z,0,ch2o,110290
2025-10-10T00:00:00Z,0,ch2o,110290
2025-10-10T01:00:00Z,0,ch2o,110290
2025-10-07T04:00:00Z,0,ch2o,110578
2025-10-07T05:00:00Z,0,ch2o,110578
2025-10-07T06:00:00Z,0,ch2o,110578
2025-10-07T07:00:00Z,0,ch2o,110578
2025-10-07T08:00:00Z,0,ch2o,110578
2025-10-07T09:00:00Z,0,ch2o,110578
2025-10-07T10:00:00Z,0,ch2o,110578
2025-10-07T11:00:00Z,0,ch2o,110578
2025-10-07T12:00:00Z,0,ch2o,110578
2025-10-07T13:00:00Z,0,ch2o,110578
2025-10-07T14:00:00Z,0,ch2o,110578
2025-10-07T15:00:00Z,0,ch2o,110578
2025-10-07T16:00:00Z,0,ch2o,110578
2025-10-07T17:00:00Z,0,ch2o,110578
2025-10-07T18:00:00Z,0,ch2o,110578
2025-10-07T19:00:00Z,0,ch2o,110578
2025-10-07T20:00:00Z,0,ch2o,110578
2025-10-07T21:00:00Z,0,ch2o,110578
2025-10-07T22:00:00Z,0,ch2o,110578
2025-10-07T23:00:00Z,0,ch2o,110578
2025-10-08T00:00:00Z,0,ch2o,110578
2025-10-08T01:00:00Z,0,ch2o,110578
2025-10-08T02:00:00Z,0,ch2o,110578
2025-10-08T03:00:00Z,0,ch2o,110578
2025-10-08T04:00:00Z,0,ch2o,110578
2025-10-08T05:00:00Z,0,ch2o,110578
2025-10-08T06:00:00Z,0,ch2o,110578
2025-10-08T07:00:00Z,0,ch2o,110578
2025-10-08T08:00:00Z,0,ch2o,110578
2025-10-08T09:00:00Z,0,ch2o,110578
2025-10-08T10:00:00Z,0,ch2o,110578
2025-10-08T11:00:00Z,0,ch2o,110578
2025-10-08T12:00:00Z,0,ch2o,110578
2025-10-08T13:00:00Z,0,ch2o,110578
2025-10-08T14:00:00Z,0,ch2o,110578
2025-10-08T15:00:00Z,0,ch2o,110578
2025-10-08T16:00:00Z,0,ch2o,110578
2025-10-08T17:00:00Z,0,ch2o,110578
2025-10-08T18:00:00Z,0,ch2o,110578
2025-10-08T19:00:00Z,0,ch2o,110578
2025-10-08T20:00:00Z,0,ch2o,110578
2025-10-08T21:00:00Z,0,ch2o,110578
2025-10-08T22:00:00Z,0,ch2o,110578
2025-10-08T23:00:00Z,0,ch2o,110578
2025-10-09T00:00:00Z,0,ch2o,110578
2025-10-09T01:00:00Z,0,ch2o,110578
2025-10-09T02:00:00Z,0,ch2o,110578
2025-10-09T03:00:00Z,0,ch2o,110578
2025-10-09T04:00:00Z,0,ch2o,110578
2025-10-09T05:00:00Z,0,ch2o,110578
2025-10-09T06:00:00Z,0,ch2o,110578
2025-10-09T07:00:00Z,0,ch2o,110578
2025-10-09T08:00:00Z,0,ch2o,110578
2025-10-09T09:00:00Z,0,ch2o,110578
2025-10-09T10:00:00Z,0,ch2o,110578
2025-10-09T11:00:00Z,0,ch2o,110578
2025-10-09T12:00:00Z,0,ch2o,110578
2025-10-09T13:00:00Z,0,ch2o,110578
2025-10-09T14:00:00Z,0,ch2o,110578
2025-10-09T15:00:00Z,0,ch2o,110578
2025-10-09T16:00:00Z,0,ch2o,110578
2025-10-09T17:00:00Z,0,ch2o,110578
2025-10-09T18:00:00Z,0,ch2o,110578
2025-10-09T19:00:00Z,0,ch2o,110578
2025-10-09T20:00:00Z,0,ch2o,110578
2025-10-09T21:00:00Z,0,ch2o,110578
2025-10-09T22:00:00Z,0,ch2o,110578
2025-10-09T23:00:00Z,0,ch2o,110578
2025-10-10T00:00:00Z,0,ch2o,110578
2025-10-07T04:00:00Z,0,ch2o,111118
2025-10-07T05:00:00Z,0,ch2o,111118
2025-10-07T06:00:00Z,0,ch2o,111118
2025-10-07T07:00:00Z,0,ch2o,111118
2025-10-07T08:00:00Z,0,ch2o,111118
2025-10-07T09:00:00Z,0.8,ch2o,111118
2025-10-07T10:00:00Z,0.75,ch2o,111118
2025-10-07T11:00:00Z,0,ch2o,111118
2025-10-07T12:00:00Z,0,ch2o,111118
2025-10-07T13:00:00Z,0,ch2o,111118
2025-10-07T14:00:00Z,0,ch2o,111118
2025-10-07T15:00:00Z,0,ch2o,111118
2025-10-07T16:00:00Z,0,ch2o,111118
2025-10-07T17:00:00Z,0,ch2o,111118
2025-10-07T18:00:00Z,0,ch2o,111118
2025-10-07T19:00:00Z,0,ch2o,111118
2025-10-07T20:00:00Z,0,ch2o,111118
2025-10-07T21:00:00Z,0,ch2o,111118
2025-10-07T22:00:00Z,0,ch2o,111118
2025-10-07T23:00:00Z,0,ch2o,111118
2025-10-08T00:00:00Z,0,ch2o,111118
2025-10-08T01:00:00Z,0,ch2o,111118
2025-10-08T02:00:00Z,0,ch2o,111118
2025-10-08T03:00:00Z,0,ch2o,111118
2025-10-08T04:00:00Z,0,ch2o,111118
2025-10-08T05:00:00Z,0,ch2o,111118
2025-10-08T06:00:00Z,0,ch2o,111118
2025-10-08T07:00:00Z,0,ch2o,111118
2025-10-08T08:00:00Z,0,ch2o,111118
2025-10-08T09:00:00Z,0,ch2o,111118
2025-10-08T10:00:00Z,0,ch2o,111118
2025-10-08T11:00:00Z,0,ch2o,111118
2025-10-08T12:00:00Z,0,ch2o,111118
2025-10-08T13:00:00Z,0,ch2o,111118
2025-10-08T14:00:00Z,0,ch2o,111118
2025-10-08T15:00:00Z,0,ch2o,111118
2025-10-08T16:00:00Z,0,ch2o,111118
2025-10-08T17:00:00Z,0,ch2o,111118
2025-10-08T18:00:00Z,0,ch2o,111118
2025-10-08T19:00:00Z,0,ch2o,111118
2025-10-08T20:00:00Z,0,ch2o,111118
2025-10-08T21:00:00Z,0,ch2o,111118
2025-10-08T22:00:00Z,0,ch2o,111118
2025-10-08T23:00:00Z,0,ch2o,111118
2025-10-09T00:00:00Z,0,ch2o,111118
2025-10-09T01:00:00Z,0,ch2o,111118
2025-10-09T02:00:00Z,0,ch2o,111118
2025-10-09T03:00:00Z,0,ch2o,111118
2025-10-09T04:00:00Z,0,ch2o,111118
2025-10-09T05:00:00Z,0,ch2o,111118
2025-10-09T06:00:00Z,0,ch2o,111118
2025-10-09T07:00:00Z,0,ch2o,111118
2025-10-09T08:00:00Z,0,ch2o,111118
2025-10-09T09:00:00Z,0,ch2o,111118
2025-10-09T10:00:00Z,0,ch2o,111118
2025-10-09T11:00:00Z,0,ch2o,111118
2025-10-09T12:00:00Z,0,ch2o,111118
2025-10-09T13:00:00Z,0,ch2o,111118
2025-10-09T14:00:00Z,0,ch2o,111118
2025-10-09T15:00:00Z,0,ch2o,111118
2025-10-09T16:00:00Z,0,ch2o,111118
2025-10-09T17:00:00Z,0,ch2o,111118
2025-10-09T18:00:00Z,0,ch2o,111118
2025-10-09T19:00:00Z,0,ch2o,111118
2025-10-09T20:00:00Z,0,ch2o,111118
2025-10-09T21:00:00Z,0,ch2o,111118
2025-10-09T22:00:00Z,0,ch2o,111118
2025-10-09T23:00:00Z,0,ch2o,111118
2025-10-10T00:00:00Z,0,ch2o,111118
2025-10-10T01:00:00Z,0,ch2o,111118
2025-10-10T02:00:00Z,0,ch2o,111118
2025-10-07T04:00:00Z,0,ch2o,111148
2025-10-07T05:00:00Z,0,ch2o,111148
2025-10-07T06:00:00Z,0,ch2o,111148
2025-10-07T07:00:00Z,0,ch2o,111148
2025-10-07T08:00:00Z,0,ch2o,111148
2025-10-07T09:00:00Z,0,ch2o,111148
2025-10-07T10:00:00Z,0,ch2o,111148
2025-10-07T11:00:00Z,0,ch2o,111148
2025-10-07T12:00:00Z,0,ch2o,111148
2025-10-07T13:00:00Z,0,ch2o,111148
2025-10-07T14:00:00Z,0,ch2o,111148
2025-10-07T15:00:00Z,0,ch2o,111148
2025-10-07T16:00:00Z,0,ch2o,111148
2025-10-07T17:00:00Z,0,ch2o,111148
2025-10-07T18:00:00Z,0,ch2o,111148
2025-10-07T19:00:00Z,0,ch2o,111148
2025-10-07T20:00:00Z,0,ch2o,111148
2025-10-07T21:00:00Z,0,ch2o,111148
2025-10-07T22:00:00Z,0,ch2o,111148
2025-10-07T23:00:00Z,0,ch2o,111148
2025-10-08T00:00:00Z,0,ch2o,111148
2025-10-08T01:00:00Z,0,ch2o,111148
2025-10-08T02:00:00Z,0,ch2o,111148
2025-10-08T03:00:00Z,0,ch2o,111148
2025-10-08T04:00:00Z,0,ch2o,111148
2025-10-08T05:00:00Z,0,ch2o,111148
2025-10-08T06:00:00Z,0,ch2o,111148
2025-10-08T07:00:00Z,0,ch2o,111148
2025-10-08T08:00:00Z,0,ch2o,111148
2025-10-08T09:00:00Z,0,ch2o,111148
2025-10-08T10:00:00Z,0,ch2o,111148
2025-10-08T11:00:00Z,0,ch2o,111148
2025-10-08T12:00:00Z,0,ch2o,111148
2025-10-08T13:00:00Z,0,ch2o,111148
2025-10-08T14:00:00Z,0,ch2o,111148
2025-10-08T15:00:00Z,0,ch2o,111148
2025-10-08T16:00:00Z,0,ch2o,111148
2025-10-08T17:00:00Z,0,ch2o,111148
2025-10-08T18:00:00Z,0,ch2o,111148
2025-10-08T19:00:00Z,0,ch2o,111148
2025-10-08T20:00:00Z,0,ch2o,111148
2025-10-08T21:00:00Z,0,ch2o,111148
2025-10-08T22:00:00Z,0,ch2o,111148
2025-10-08T23:00:00Z,0,ch2o,111148
2025-10-09T00:00:00Z,0,ch2o,111148
2025-10-09T01:00:00Z,0,ch2o,111148
2025-10-09T02:00:00Z,0,ch2o,111148
2025-10-09T03:00:00Z,0,ch2o,111148
2025-10-09T04:00:00Z,0,ch2o,111148
2025-10-09T05:00:00Z,0,ch2o,111148
2025-10-09T06:00:00Z,0,ch2o,111148
2025-10-09T07:00:00Z,0,ch2o,111148
2025-10-09T08:00:00Z,0,ch2o,111148
2025-10-09T09:00:00Z,0,ch2o,111148
2025-10-09T10:00:00Z,0,ch2o,111148
2025-10-09T11:00:00Z,0,ch2o,111148
2025-10-09T12:00:00Z,0,ch2o,111148
2025-10-09T13:00:00Z,0,ch2o,111148
2025-10-09T14:00:00Z,0,ch2o,111148
2025-10-09T15:00:00Z,0,ch2o,111148
2025-10-09T16:00:00Z,0,ch2o,111148
2025-10-09T17:00:00Z,0,ch2o,111148
2025-10-09T18:00:00Z,0,ch2o,111148
