time,value,field,id
2025-09-25T11:00:00Z,7.4,pm25,129778
2025-09-25T12:00:00Z,7,pm25,129778
2025-09-25T13:00:00Z,7,pm25,129778
2025-09-25T14:00:00Z,6.2,pm25,129778
2025-09-25T15:00:00Z,4.83,pm25,129778
2025-09-25T16:00:00Z,5.29,pm25,129778
2025-09-25T17:00:00Z,5.33,pm25,129778
2025-09-25T18:00:00Z,5.6,pm25,129778
2025-09-25T19:00:00Z,4.8,pm25,129778
2025-09-25T20:00:00Z,3,pm25,129778
2025-09-25T21:00:00Z,1.8,pm25,129778
2025-09-26T00:00:00Z,2,pm25,129778
2025-09-26T01:00:00Z,1.8,pm25,129778
2025-09-26T02:00:00Z,1,pm25,129778
2025-09-26T03:00:00Z,1,pm25,129778
2025-09-26T04:00:00Z,0.8,pm25,129778
2025-09-26T05:00:00Z,1,pm25,129778
2025-09-26T06:00:00Z,1.5,pm25,129778
2025-09-26T07:00:00Z,1,pm25,129778
2025-09-26T08:00:00Z,2,pm25,129778
2025-09-26T09:00:00Z,1.4,pm25,129778
2025-09-26T10:00:00Z,1,pm25,129778
2025-09-26T11:00:00Z,1,pm25,129778
2025-09-26T12:00:00Z,1,pm25,129778
2025-09-26T13:00:00Z,1.25,pm25,129778
2025-09-26T14:00:00Z,1.4,pm25,129778
2025-09-26T15:00:00Z,1,pm25,129778
2025-09-26T16:00:00Z,1,pm25,129778
2025-09-26T17:00:00Z,1.5,pm25,129778
2025-09-26T18:00:00Z,5.14,pm25,129778
2025-09-26T19:00:00Z,5.25,pm25,129778
2025-09-26T20:00:00Z,2,pm25,129778
2025-09-26T21:00:00Z,2.5,pm25,129778
2025-09-26T22:00:00Z,2.83,pm25,129778
2025-09-25T05:00:00Z,2.62,pm25,130291
2025-09-25T06:00:00Z,2.15,pm25,130291
2025-09-25T07:00:00Z,15.29,pm25,130291
2025-09-25T08:00:00Z,15.21,pm25,130291
2025-09-25T09:00:00Z,4.16,pm25,130291
2025-09-25T10:00:00Z,1.98,pm25,130291
2025-09-25T11:00:00Z,1.53,pm25,130291
2025-09-25T12:00:00Z,6.62,pm25,130291
2025-09-25T13:00:00Z,4.03,pm25,130291
2025-09-25T14:00:00Z,1.53,pm25,130291
2025-09-25T15:00:00Z,1.47,pm25,130291
2025-09-25T16:00:00Z,1.02,pm25,130291
2025-09-25T17:00:00Z,1.1,pm25,130291
2025-09-25T18:00:00Z,1.13,pm25,130291
2025-09-25T19:00:00Z,1.56,pm25,130291
2025-09-25T20:00:00Z,1.79,pm25,130291
2025-09-25T21:00:00Z,1.6,pm25,130291
2025-09-25T22:00:00Z,1.66,pm25,130291
2025-09-25T23:00:00Z,1.58,pm25,130291
2025-09-26T00:00:00Z,1.46,pm25,130291
2025-09-26T01:00:00Z,1.34,pm25,130291
2025-09-26T02:00:00Z,1.3,pm25,130291
2025-09-26T03:00:00Z,1.71,pm25,130291
2025-09-26T04:00:00Z,2.49,pm25,130291
2025-09-26T05:00:00Z,2.61,pm25,130291
2025-09-26T06:00:00Z,2.37,pm25,130291
2025-09-26T07:00:00Z,2.29,pm25,130291
2025-09-26T08:00:00Z,12.8,pm25,130291
2025-09-26T09:00:00Z,5.55,pm25,130291
2025-09-26T10:00:00Z,2.49,pm25,130291
2025-09-26T11:00:00Z,2.45,pm25,130291
2025-09-26T12:00:00Z,4.16,pm25,130291
2025-09-26T13:00:00Z,2.53,pm25,130291
2025-09-26T14:00:00Z,1.4,pm25,130291
2025-09-26T15:00:00Z,1.09,pm25,130291
2025-09-26T16:00:00Z,1.01,pm25,130291
2025-09-26T17:00:00Z,1.09,pm25,130291
2025-09-26T18:00:00Z,1.3,pm25,130291
2025-09-26T19:00:00Z,2.94,pm25,130291
