time,value,field,id
2025-09-21T04:00:00Z,0,ch2o,110290
2025-09-21T05:00:00Z,0,ch2o,110290
2025-09-21T06:00:00Z,0,ch2o,110290
2025-09-21T07:00:00Z,0,ch2o,110290
2025-09-21T08:00:00Z,0,ch2o,110290
2025-09-21T09:00:00Z,0,ch2o,110290
2025-09-21T10:00:00Z,0,ch2o,110290
2025-09-21T11:00:00Z,0,ch2o,110290
2025-09-21T12:00:00Z,0,ch2o,110290
2025-09-21T13:00:00Z,0,ch2o,110290
2025-09-21T14:00:00Z,0,ch2o,110290
2025-09-21T15:00:00Z,0,ch2o,110290
2025-09-21T16:00:00Z,0,ch2o,110290
2025-09-21T17:00:00Z,0,ch2o,110290
2025-09-21T18:00:00Z,0,ch2o,110290
2025-09-21T19:00:00Z,0,ch2o,110290
2025-09-21T20:00:00Z,0,ch2o,110290
2025-09-21T21:00:00Z,0,ch2o,110290
2025-09-21T22:00:00Z,0,ch2o,110290
2025-09-21T23:00:00Z,0,ch2o,110290
2025-09-22T00:00:00Z,0,ch2o,110290
2025-09-22T01:00:00Z,0,ch2o,110290
2025-09-22T02:00:00Z,0,ch2o,110290
2025-09-22T03:00:00Z,0,ch2o,110290
2025-09-22T04:00:00Z,0,ch2o,110290
2025-09-22T05:00:00Z,0,ch2o,110290
2025-09-22T06:00:00Z,0,ch2o,110290
2025-09-22T07:00:00Z,0,ch2o,110290
2025-09-22T08:00:00Z,0,ch2o,110290
2025-09-22T09:00:00Z,0,ch2o,110290
2025-09-22T10:00:00Z,0,ch2o,110290
2025-09-22T11:00:00Z,0,ch2o,110290
2025-09-22T12:00:00Z,0,ch2o,110290
2025-09-22T13:00:00Z,0,ch2o,110290
2025-09-22T14:00:00Z,0,ch2o,110290
2025-09-22T15:00:00Z,0,ch2o,110290
2025-09-22T16:00:00Z,0,ch2o,110290
2025-09-22T17:00:00Z,0,ch2o,110290
2025-09-22T18:00:00Z,0,ch2o,110290
2025-09-22T19:00:00Z,0,ch2o,110290
2025-09-22T20:00:00Z,0,ch2o,110290
2025-09-22T21:00:00Z,0,ch2o,110290
2025-09-22T22:00:00Z,0,ch2o,110290
2025-09-22T23:00:00Z,0,ch2o,110290
2025-09-23T00:00:00Z,0,ch2o,110290
2025-09-23T01:00:00Z,0,ch2o,110290
2025-09-23T02:00:00Z,0,ch2o,110290
2025-09-23T03:00:00Z,0,ch2o,110290
2025-09-23T04:00:00Z,0,ch2o,110290
2025-09-23T05:00:00Z,0,ch2o,110290
2025-09-23T06:00:00Z,0,ch2o,110290
2025-09-23T07:00:00Z,0,ch2o,110290
2025-09-23T08:00:00Z,0,ch2o,110290
